accession_number	numObservableTrypticPeptides	proteinLength
TGGT1_294350-t26_1-p1	105	2434
TGGT1_294360-t26_1-p1	29	571
TGGT1_294370-t26_1-p1	6	151
TGGT1_294380-t26_1-p1	75	1698
TGGT1_294390-t26_1-p1	10	172
TGGT1_294400-t26_1-p1	55	1490
TGGT1_294410-t26_1-p1	28	636
TGGT1_294420-t26_1-p1	32	584
TGGT1_294430-t26_1-p1	33	892
TGGT1_294440-t26_1-p1	37	970
TGGT1_294550-t26_1-p1	247	4974
TGGT1_294560-t26_1-p1	36	776
TGGT1_294570-t26_1-p1	47	881
TGGT1_294585-t26_1-p1	38	788
TGGT1_294595-t26_1-p1	10	220
TGGT1_294600-t26_1-p1	24	565
TGGT1_294610-t26_1-p1	75	1737
TGGT1_294620-t26_1-p1	35	971
TGGT1_294630-t26_1-p1	37	880
TGGT1_294640-t26_1-p1	42	877
TGGT1_294650-t26_1-p1	19	552
TGGT1_294651-t26_1-p1	51	1302
TGGT1_294660-t26_1-p1	7	179
TGGT1_294670-t26_1-p1	10	277
TGGT1_294680-t26_1-p1	11	206
TGGT1_294690-t26_1-p1	30	841
TGGT1_294700-t26_1-p1	27	688
TGGT1_294705-t26_1-p1	5	97
TGGT1_294710-t26_1-p1	40	1151
TGGT1_294720-t26_1-p1	41	1007
TGGT1_294730-t26_1-p1	55	2142
TGGT1_294740-t26_1-p1	148	3421
TGGT1_294750-t26_1-p1	13	302
TGGT1_294760-t26_1-p1	7	173
TGGT1_294770-t26_1-p1	26	710
TGGT1_294780-t26_1-p1	16	323
TGGT1_294785-t26_1-p1	13	349
TGGT1_294790-t26_1-p1	17	351
TGGT1_294800A-t26_1-p1	18	332
TGGT1_294800B-t26_1-p1	16	310
TGGT1_294805-t26_1-p1	7	121
TGGT1_294808-t26_1-p1	4	191
TGGT1_294812-t26_1-p1	10	244
TGGT1_294820-t26_1-p1	442	10021
TGGT1_294830-t26_1-p1	38	758
TGGT1_294840-t26_1-p1	58	1152
TGGT1_294850-t26_1-p1	15	298
TGGT1_294860-t26_1-p1	105	2457
TGGT1_294870-t26_1-p1	17	432
TGGT1_294880-t26_1-p1	33	844
TGGT1_294890-t26_1-p1	29	630
TGGT1_294898-t26_1-p1	43	827
TGGT1_294902-t26_1-p1	34	1089
TGGT1_294920-t26_1-p1	22	478
TGGT1_294930-t26_1-p1	9	291
TGGT1_294940-t26_1-p1	17	486
TGGT1_294960-t26_1-p1	27	519
TGGT1_294970-t26_1-p1	29	659
TGGT1_294980-t26_1-p1	14	270
TGGT1_294990-t26_1-p1	4	209
TGGT1_295000-t26_1-p1	42	1053
TGGT1_295010-t26_1-p1	35	698
TGGT1_295015-t26_1-p1	6	274
TGGT1_295020-t26_1-p1	70	1535
TGGT1_295030-t26_1-p1	33	762
TGGT1_295035-t26_1-p1	8	172
TGGT1_295040-t26_1-p1	34	971
TGGT1_295050-t26_1-p1	71	1480
TGGT1_295060-t26_1-p1	29	520
TGGT1_295070-t26_1-p1	66	1603
TGGT1_295080-t26_1-p1	13	232
TGGT1_295090-t26_1-p1	34	735
TGGT1_295100-t26_1-p1	85	1868
TGGT1_295105-t26_1-p1	4	102
TGGT1_295125-t26_1-p1	17	365
TGGT1_295130-t26_1-p1	6	92
TGGT1_295140-t26_1-p1	3	124
TGGT1_295300-t26_1-p1	5	158
TGGT1_295320-t26_1-p1	19	627
TGGT1_295330-t26_1-p1	95	2020
TGGT1_295340-t26_1-p1	12	380
TGGT1_295350-t26_1-p1	8	155
TGGT1_295360-t26_1-p1	15	268
TGGT1_295370-t26_1-p1	9	273
TGGT1_295380-t26_1-p1	94	1979
TGGT1_295390-t26_1-p1	12	368
TGGT1_295400-t26_1-p1	31	776
TGGT1_295410-t26_1-p1	34	856
TGGT1_295420-t26_1-p1	33	735
TGGT1_295430-t26_1-p1	15	373
TGGT1_295440-t26_1-p1	18	404
TGGT1_295450-t26_1-p1	6	150
TGGT1_295460-t26_1-p1	4	140
TGGT1_295468-t26_1-p1	49	1043
TGGT1_295472-t26_1-p1	69	1570
TGGT1_295590-t26_1-p1	66	1506
TGGT1_295600-t26_1-p1	8	173
TGGT1_295610-t26_1-p1	214	5175
TGGT1_295620-t26_1-p1	52	1237
TGGT1_295630-t26_1-p1	6	155
TGGT1_295640-t26_1-p1	42	1038
TGGT1_295650-t26_1-p1	36	683
TGGT1_295658-t26_1-p1	197	4439
TGGT1_295662-t26_1-p1	14	302
TGGT1_295680-t26_1-p1	46	1266
TGGT1_295685-t26_1-p1	4	86
TGGT1_295690-t26_1-p1	26	541
TGGT1_295710-t26_1-p1	319	8007
TGGT1_295720-t26_1-p1	39	845
TGGT1_295730-t26_1-p1	16	422
TGGT1_295740-t26_1-p1	73	1818
TGGT1_295750-t26_1-p1	10	317
TGGT1_295760-t26_1-p1	27	543
TGGT1_295770-t26_1-p1	106	2465
TGGT1_295850-t26_1-p1	147	3062
TGGT1_295910-t26_1-p1	22	389
TGGT1_295920-t26_1-p1	40	806
TGGT1_295935-t26_1-p1	47	1023
TGGT1_295945-t26_1-p1	6	138
TGGT1_295950-t26_1-p1	23	621
TGGT1_295960-t26_1-p1	14	367
TGGT1_295970-t26_1-p1	5	102
TGGT1_295980-t26_1-p1	45	1013
TGGT1_295990-t26_1-p1	28	641
TGGT1_295995-t26_1-p1	9	279
TGGT1_296000-t26_1-p1	8	194
TGGT1_296010-t26_1-p1	58	1583
TGGT1_296015-t26_1-p1	7	96
TGGT1_296020-t26_1-p1	11	157
TGGT1_357770-t26_1-p1	2	124
TGGT1_359190-t26_1-p1	28	498
TGGT1_366970-t26_1-p1	4	105
TGGT1_410650-t26_1-p1	8	176
TGGT1_410660-t26_1-p1	44	1021
TGGT1_207350-t26_1-p1	5	94
TGGT1_207360-t26_1-p1	7	126
TGGT1_207370-t26_1-p1	41	1373
TGGT1_207390-t26_1-p1	23	517
TGGT1_207400-t26_1-p1	19	436
TGGT1_207407-t26_1-p1	13	206
TGGT1_207410-t26_1-p1	29	655
TGGT1_207420-t26_1-p1	9	171
TGGT1_207430-t26_1-p1	42	768
TGGT1_207440-t26_1-p1	13	312
TGGT1_207450-t26_1-p1	23	519
TGGT1_207460A-t26_1-p1	2	26
TGGT1_207460B-t26_1-p1	10	201
TGGT1_207470-t26_1-p1	27	667
TGGT1_207480-t26_1-p1	195	5052
TGGT1_207590-t26_1-p1	29	533
TGGT1_207600-t26_1-p1	32	664
TGGT1_207610-t26_1-p1	29	624
TGGT1_207620-t26_1-p1	32	664
TGGT1_207630-t26_1-p1	23	497
TGGT1_207640-t26_1-p1	46	1242
TGGT1_207650-t26_1-p1	11	219
TGGT1_207665-t26_1-p1	37	826
TGGT1_207680-t26_1-p1	6	170
TGGT1_207690-t26_1-p1	7	122
TGGT1_207700-t26_1-p1	35	611
TGGT1_207710-t26_1-p1	11	258
TGGT1_207720-t26_1-p1	76	1628
TGGT1_207730-t26_1-p1	60	1243
TGGT1_207740-t26_1-p1	33	752
TGGT1_207750-t26_1-p1	33	851
TGGT1_207760-t26_1-p1	69	1519
TGGT1_207770-t26_1-p1	20	511
TGGT1_207780-t26_1-p1	5	205
TGGT1_207790-t26_1-p1	8	148
TGGT1_207800-t26_1-p1	23	421
TGGT1_207820-t26_1-p1	28	548
TGGT1_207830-t26_1-p1	17	366
TGGT1_207840-t26_1-p1	5	132
TGGT1_207865-t26_1-p1	108	2914
TGGT1_207875-t26_1-p1	40	1262
TGGT1_207880-t26_1-p1	85	1768
TGGT1_207900-t26_1-p1	45	813
TGGT1_207910-t26_1-p1	10	501
TGGT1_207920-t26_1-p1	26	726
TGGT1_207930-t26_1-p1	8	207
TGGT1_207940-t26_1-p1	21	530
TGGT1_207950-t26_1-p1	2	177
TGGT1_207955-t26_1-p1	5	150
TGGT1_207960-t26_1-p1	36	839
TGGT1_207965-t26_1-p1	22	728
TGGT1_207970-t26_1-p1	72	1450
TGGT1_207980-t26_1-p1	11	399
TGGT1_207990-t26_1-p1	42	981
TGGT1_208010-t26_1-p1	21	472
TGGT1_208020-t26_1-p1	117	2311
TGGT1_208030-t26_1-p1	20	580
TGGT1_208040-t26_1-p1	63	1440
TGGT1_208050-t26_1-p1	139	3594
TGGT1_208070-t26_1-p1	107	2851
TGGT1_208080-t26_1-p1	6	155
TGGT1_208090-t26_1-p1	24	473
TGGT1_208200-t26_1-p1	15	497
TGGT1_208300-t26_1-p1	6	105
TGGT1_208310-t26_1-p1	25	589
TGGT1_208320-t26_1-p1	33	703
TGGT1_208330-t26_1-p1	12	264
TGGT1_208340-t26_1-p1	56	1285
TGGT1_208350-t26_1-p1	14	369
TGGT1_208360-t26_1-p1	35	985
TGGT1_208370-t26_1-p1	51	1124
TGGT1_208380-t26_1-p1	14	366
TGGT1_208390-t26_1-p1	21	424
TGGT1_208400A-t26_1-p1	11	227
TGGT1_208400B-t26_1-p1	88	1824
TGGT1_208410-t26_1-p1	42	1004
TGGT1_208420-t26_1-p1	39	1026
TGGT1_208430-t26_1-p1	18	252
TGGT1_208440-t26_1-p1	10	205
TGGT1_208450-t26_1-p1	12	318
TGGT1_208490-t26_1-p1	48	1054
TGGT1_208500-t26_1-p1	28	709
TGGT1_208510-t26_1-p1	40	1060
TGGT1_208530-t26_1-p1	24	589
TGGT1_208540-t26_1-p1	47	1043
TGGT1_208550-t26_1-p1	13	279
TGGT1_208560-t26_1-p1	32	670
TGGT1_208570-t26_1-p1	36	774
TGGT1_208580-t26_1-p1	58	1338
TGGT1_208590-t26_1-p1	28	475
TGGT1_208710-t26_1-p1	37	789
TGGT1_208718-t26_1-p1	18	404
TGGT1_208722-t26_1-p1	5	91
TGGT1_208730-t26_1-p1	52	1016
TGGT1_208740-t26_1-p1	25	609
TGGT1_208750-t26_1-p1	12	268
TGGT1_208760-t26_1-p1	25	639
TGGT1_208770-t26_1-p1	9	160
TGGT1_208780-t26_1-p1	7	218
TGGT1_208790-t26_1-p1	18	310
TGGT1_208800-t26_1-p1	15	302
TGGT1_208810-t26_1-p1	37	822
TGGT1_208820-t26_1-p1	60	1424
TGGT1_208830-t26_1-p1	22	505
TGGT1_208842-t26_1-p1	90	1844
TGGT1_208850-t26_1-p1	6	190
TGGT1_208910-t26_1-p1	150	3444
TGGT1_208970-t26_1-p1	13	283
TGGT1_208980-t26_1-p1	8	268
TGGT1_208990-t26_1-p1	16	426
TGGT1_209000-t26_1-p1	530	12302
TGGT1_209010-t26_1-p1	26	518
TGGT1_209020-t26_1-p1	43	934
TGGT1_209030-t26_1-p1	21	376
TGGT1_209040-t26_1-p1	20	496
TGGT1_209045-t26_1-p1	5	119
TGGT1_209050-t26_1-p1	46	984
TGGT1_209060-t26_1-p1	28	876
TGGT1_209070-t26_1-p1	17	387
TGGT1_209080-t26_1-p1	6	221
TGGT1_209090-t26_1-p1	5	168
TGGT1_209095-t26_1-p1	7	166
TGGT1_209100-t26_1-p1	25	620
TGGT1_209108-t26_1-p1	15	400
TGGT1_209120-t26_1-p1	4	113
TGGT1_209130-t26_1-p1	30	1000
TGGT1_209140-t26_1-p1	13	269
TGGT1_209150-t26_1-p1	30	618
TGGT1_209160-t26_1-p1	21	463
TGGT1_209170-t26_1-p1	23	416
TGGT1_209180-t26_1-p1	26	438
TGGT1_209190-t26_1-p1	35	798
TGGT1_209200-t26_1-p1	29	753
TGGT1_209210-t26_1-p1	68	1492
TGGT1_209240-t26_1-p1	24	475
TGGT1_209250-t26_1-p1	40	1018
TGGT1_209260-t26_1-p1	18	310
TGGT1_209270-t26_1-p1	75	1806
TGGT1_209280-t26_1-p1	63	1602
TGGT1_209290-t26_1-p1	6	118
TGGT1_209300-t26_1-p1	32	631
TGGT1_209410-t26_1-p1	3	71
TGGT1_209420-t26_1-p1	10	250
TGGT1_209430-t26_1-p1	9	183
TGGT1_209440-t26_1-p1	151	3633
TGGT1_209450-t26_1-p1	35	882
TGGT1_209460-t26_1-p1	41	725
TGGT1_209470-t26_1-p1	22	520
TGGT1_209480-t26_1-p1	22	437
TGGT1_209485-t26_1-p1	15	529
TGGT1_209490-t26_1-p1	25	505
TGGT1_209500-t26_1-p1	130	2936
TGGT1_209510-t26_1-p1	31	742
TGGT1_209515-t26_1-p1	11	189
TGGT1_209520-t26_1-p1	93	2341
TGGT1_209530-t26_1-p1	13	422
TGGT1_209540-t26_1-p1	60	1534
TGGT1_209550-t26_1-p1	58	1306
TGGT1_209560-t26_1-p1	23	479
TGGT1_209570-t26_1-p1	15	361
TGGT1_209580-t26_1-p1	37	784
TGGT1_209583-t26_1-p1	4	139
TGGT1_209585-t26_1-p1	10	332
TGGT1_209590-t26_1-p1	6	258
TGGT1_209600-t26_1-p1	19	451
TGGT1_209610-t26_1-p1	19	462
TGGT1_209620-t26_1-p1	11	393
TGGT1_209630-t26_1-p1	25	456
TGGT1_209640-t26_1-p1	20	432
TGGT1_209650A-t26_1-p1	58	1467
TGGT1_209650B-t26_1-p1	126	3027
TGGT1_209670-t26_1-p1	14	238
TGGT1_209680-t26_1-p1	26	595
TGGT1_209690-t26_1-p1	11	233
TGGT1_209700-t26_1-p1	10	229
TGGT1_209705-t26_1-p1	10	268
TGGT1_209710-t26_1-p1	8	272
TGGT1_209720-t26_1-p1	7	218
TGGT1_209730-t26_1-p1	62	1465
TGGT1_209740-t26_1-p1	10	223
TGGT1_209755A-t26_1-p1	20	394
TGGT1_209755B-t26_1-p1	35	602
TGGT1_209770-t26_1-p1	68	1382
TGGT1_209790-t26_1-p1	24	610
TGGT1_209800-t26_1-p1	12	412
TGGT1_209810-t26_1-p1	11	337
TGGT1_209820-t26_1-p1	2	105
TGGT1_209830-t26_1-p1	36	654
TGGT1_209850-t26_1-p1	25	1412
TGGT1_209860-t26_1-p1	18	424
TGGT1_209870-t26_1-p1	36	870
TGGT1_209880-t26_1-p1	192	4892
TGGT1_209890-t26_1-p1	11	193
TGGT1_209900-t26_1-p1	7	143
TGGT1_209910-t26_1-p1	5	123
TGGT1_209920A-t26_1-p1	22	401
TGGT1_209920B-t26_1-p1	28	546
TGGT1_209930-t26_1-p1	23	454
TGGT1_209940-t26_1-p1	17	438
TGGT1_209945-t26_1-p1	3	58
TGGT1_209950-t26_1-p1	22	424
TGGT1_209960-t26_1-p1	83	1707
TGGT1_209970-t26_1-p1	86	2032
TGGT1_209985-t26_1-p1	15	264
TGGT1_210095-t26_1-p1	13	365
TGGT1_321270-t26_1-p1	5	95
TGGT1_321280-t26_1-p1	1	79
TGGT1_321290-t26_1-p1	14	426
TGGT1_321300-t26_1-p1	27	681
TGGT1_321310-t26_1-p1	33	732
TGGT1_321340-t26_1-p1	177	3808
TGGT1_321360-t26_1-p1	8	274
TGGT1_321370-t26_1-p1	109	2792
TGGT1_321390-t26_1-p1	18	388
TGGT1_321400-t26_1-p1	3	128
TGGT1_321410-t26_1-p1	87	1923
TGGT1_321420-t26_1-p1	24	554
TGGT1_321430-t26_1-p1	24	481
TGGT1_321440-t26_1-p1	54	1249
TGGT1_321450-t26_1-p1	156	4220
TGGT1_321460-t26_1-p1	4	151
TGGT1_321470-t26_1-p1	15	374
TGGT1_321480-t26_1-p1	20	384
TGGT1_321490-t26_1-p1	16	386
TGGT1_321500-t26_1-p1	18	475
TGGT1_321510-t26_1-p1	5	96
TGGT1_321520-t26_1-p1	6	232
TGGT1_321530-t26_1-p1	15	422
TGGT1_321540-t26_1-p1	42	1072
TGGT1_321550-t26_1-p1	16	335
TGGT1_321560-t26_1-p1	27	770
TGGT1_321570-t26_1-p1	10	231
TGGT1_321580-t26_1-p1	12	262
TGGT1_321590-t26_1-p1	15	386
TGGT1_321600-t26_1-p1	51	1182
TGGT1_321610-t26_1-p1	35	741
TGGT1_321620-t26_1-p1	38	860
TGGT1_321630-t26_1-p1	20	400
TGGT1_321640-t26_1-p1	53	1044
TGGT1_321650-t26_1-p1	65	1375
TGGT1_321660-t26_1-p1	33	768
TGGT1_321680-t26_1-p1	19	372
TGGT1_321685-t26_1-p1	12	237
TGGT1_321690-t26_1-p1	34	943
TGGT1_356970-t26_1-p1	4	101
TGGT1_410520-t26_1-p1	5	144
TGGT1_410530-t26_1-p1	4	112
TGGT1_220840-t26_1-p1	30	571
TGGT1_220850-t26_1-p1	11	221
TGGT1_220860-t26_1-p1	31	602
TGGT1_220870-t26_1-p1	8	174
TGGT1_220880-t26_1-p1	10	203
TGGT1_220890-t26_1-p1	17	454
TGGT1_220900-t26_1-p1	25	706
TGGT1_220910-t26_1-p1	72	1769
TGGT1_220920-t26_1-p1	56	1681
TGGT1_220930-t26_1-p1	25	687
TGGT1_220940-t26_1-p1	20	482
TGGT1_220950-t26_1-p1	10	334
TGGT1_221160-t26_1-p1	17	413
TGGT1_221170-t26_1-p1	17	432
TGGT1_221180-t26_1-p1	23	791
TGGT1_221190-t26_1-p1	15	414
TGGT1_221200A-t26_1-p1	66	1525
TGGT1_221200B-t26_1-p1	54	1300
TGGT1_221210-t26_1-p1	8	179
TGGT1_221220-t26_1-p1	89	1928
TGGT1_221230-t26_1-p1	27	574
TGGT1_221240-t26_1-p1	6	103
TGGT1_221250-t26_1-p1	41	1052
TGGT1_221260-t26_1-p1	25	615
TGGT1_221265-t26_1-p1	32	666
TGGT1_221270-t26_1-p1	18	401
TGGT1_221280-t26_1-p1	179	4037
TGGT1_221295-t26_1-p1	10	196
TGGT1_221310-t26_1-p1	60	1069
TGGT1_221320-t26_1-p1	129	2614
TGGT1_221330-t26_1-p1	71	1594
TGGT1_221340-t26_1-p1	26	515
TGGT1_221350-t26_1-p1	13	300
TGGT1_221360-t26_1-p1	32	644
TGGT1_221370-t26_1-p1	56	1346
TGGT1_221380-t26_1-p1	12	247
TGGT1_221390-t26_1-p1	41	875
TGGT1_221400-t26_1-p1	91	1992
TGGT1_221410-t26_1-p1	20	473
TGGT1_221415-t26_1-p1	4	88
TGGT1_221420-t26_1-p1	46	928
TGGT1_221430-t26_1-p1	33	859
TGGT1_221440-t26_1-p1	81	1962
TGGT1_221450-t26_1-p1	20	521
TGGT1_221455-t26_1-p1	12	251
TGGT1_221460-t26_1-p1	25	450
TGGT1_221470-t26_1-p1	28	552
TGGT1_221480-t26_1-p1	15	290
TGGT1_221490-t26_1-p1	11	180
TGGT1_221500-t26_1-p1	47	982
TGGT1_221510-t26_1-p1	8	159
TGGT1_221522-t26_1-p1	20	571
TGGT1_221530-t26_1-p1	24	445
TGGT1_221540-t26_1-p1	48	1153
TGGT1_221550-t26_1-p1	27	599
TGGT1_221560-t26_1-p1	23	551
TGGT1_221570-t26_1-p1	17	347
TGGT1_221580-t26_1-p1	99	2180
TGGT1_221585-t26_1-p1	6	102
TGGT1_221590-t26_1-p1	16	356
TGGT1_221600-t26_1-p1	44	896
TGGT1_221610-t26_1-p1	34	795
TGGT1_221620-t26_1-p1	21	449
TGGT1_221630-t26_1-p1	87	1940
TGGT1_221640-t26_1-p1	47	1271
TGGT1_221660-t26_1-p1	75	1850
TGGT1_221665-t26_1-p1	40	785
TGGT1_221670-t26_1-p1	49	1198
TGGT1_221675A-t26_1-p1	21	557
TGGT1_221675B-t26_1-p1	38	1060
TGGT1_221685-t26_1-p1	18	347
TGGT1_221690-t26_1-p1	54	1410
TGGT1_221700-t26_1-p1	14	279
TGGT1_221710-t26_1-p1	62	1707
TGGT1_221720-t26_1-p1	137	3083
TGGT1_221818-t26_1-p1	10	314
TGGT1_221830-t26_1-p1	68	1959
TGGT1_221840-t26_1-p1	24	464
TGGT1_221850-t26_1-p1	11	210
TGGT1_221865-t26_1-p1	3	113
TGGT1_221870-t26_1-p1	51	1373
TGGT1_221880-t26_1-p1	33	805
TGGT1_221890-t26_1-p1	22	656
TGGT1_221895-t26_1-p1	9	193
TGGT1_221900-t26_1-p1	9	222
TGGT1_221905-t26_1-p1	8	170
TGGT1_221910-t26_1-p1	6	232
TGGT1_221922-t26_1-p1	25	483
TGGT1_221930-t26_1-p1	10	211
TGGT1_221940-t26_1-p1	54	1348
TGGT1_221950-t26_1-p1	28	559
TGGT1_221970-t26_1-p1	6	228
TGGT1_221980-t26_1-p1	21	558
TGGT1_221990-t26_1-p1	30	586
TGGT1_222000-t26_1-p1	21	508
TGGT1_222010-t26_1-p1	29	661
TGGT1_222020-t26_1-p1	32	593
TGGT1_222030-t26_1-p1	44	997
TGGT1_222040-t26_1-p1	11	183
TGGT1_222050-t26_1-p1	70	1477
TGGT1_222060-t26_1-p1	44	1162
TGGT1_222070-t26_1-p1	35	645
TGGT1_222075-t26_1-p1	6	110
TGGT1_222080-t26_1-p1	7	163
TGGT1_222090-t26_1-p1	4	133
TGGT1_222100-t26_1-p1	62	1140
TGGT1_222110-t26_1-p1	12	355
TGGT1_222120-t26_1-p1	54	1269
TGGT1_222130-t26_1-p1	8	198
TGGT1_222140-t26_1-p1	64	1236
TGGT1_222150-t26_1-p1	52	1452
TGGT1_222155-t26_1-p1	10	197
TGGT1_222160-t26_1-p1	27	497
TGGT1_222170-t26_1-p1	13	300
TGGT1_222180-t26_1-p1	11	200
TGGT1_222188-t26_1-p1	17	486
TGGT1_222192-t26_1-p1	26	594
TGGT1_222200-t26_1-p1	26	656
TGGT1_222210-t26_1-p1	25	440
TGGT1_222220-t26_1-p1	18	429
TGGT1_222230-t26_1-p1	109	2494
TGGT1_222240-t26_1-p1	39	1023
TGGT1_222245-t26_1-p1	10	211
TGGT1_222250-t26_1-p1	67	1549
TGGT1_222260-t26_1-p1	3	94
TGGT1_222270-t26_1-p1	15	387
TGGT1_222280-t26_1-p1	11	258
TGGT1_222290-t26_1-p1	8	171
TGGT1_222300-t26_1-p1	63	1468
TGGT1_222305-t26_1-p1	4	133
TGGT1_222310-t26_1-p1	18	536
TGGT1_222330-t26_1-p1	97	2338
TGGT1_222340-t26_1-p1	26	658
TGGT1_222350-t26_1-p1	20	410
TGGT1_222360-t26_1-p1	34	774
TGGT1_222370-t26_1-p1	33	801
TGGT1_222380-t26_1-p1	55	1147
TGGT1_222385-t26_1-p1	11	250
TGGT1_222390-t26_1-p1	16	316
TGGT1_222400-t26_1-p1	30	628
TGGT1_222410-t26_1-p1	22	709
TGGT1_222420-t26_1-p1	25	576
TGGT1_222430-t26_1-p1	54	1351
TGGT1_222440-t26_1-p1	20	528
TGGT1_222660-t26_1-p1	95	1873
TGGT1_222700-t26_1-p1	23	648
TGGT1_222710-t26_1-p1	29	683
TGGT1_222800-t26_1-p1	121	3004
TGGT1_222840-t26_1-p1	16	433
TGGT1_222850-t26_1-p1	5	101
TGGT1_222860-t26_1-p1	29	756
TGGT1_222870-t26_1-p1	9	182
TGGT1_222880-t26_1-p1	37	729
TGGT1_222900-t26_1-p1	76	1766
TGGT1_222910-t26_1-p1	24	514
TGGT1_222920-t26_1-p1	6	140
TGGT1_222930-t26_1-p1	16	308
TGGT1_222935-t26_1-p1	15	329
TGGT1_222940-t26_1-p1	23	489
TGGT1_222948-t26_1-p1	7	124
TGGT1_222952-t26_1-p1	19	386
TGGT1_222960-t26_1-p1	41	1065
